time,site,ip,hop_num,min_rtt,avg_rtt,max_rtt
2021-04-21 22:13:25.147095+00:00,oiala.ai,96.110.46.30,6,12.87,15.09,19.74
2021-04-21 22:13:25.147260+00:00,oiala.ai,96.110.37.178,7,13.211,16.747,23.253
2021-04-21 22:13:25.147420+00:00,oiala.ai,96.110.38.89,8,21.689,25.508,34.327
2021-04-21 22:13:25.147581+00:00,oiala.ai,96.110.45.185,9,22.943,31.717,39.673
2021-04-21 22:13:25.147743+00:00,oiala.ai,96.110.33.62,10,21.999,25.255,32.347
2021-04-21 22:13:25.147903+00:00,oiala.ai,50.242.151.226,11,20.412,24.765,30.668
2021-04-21 22:13:25.148061+00:00,oiala.ai,104.21.44.243,12,19.93,22.319,27.735
2021-04-21 22:21:27.576831+00:00,docs.google.com,10.0.0.1,1,2.344,5.173,9.967
2021-04-21 22:21:27.577259+00:00,docs.google.com,96.120.88.185,2,11.262,20.069,29.309
2021-04-21 22:21:27.577509+00:00,docs.google.com,96.110.177.73,3,11.872,12.91,13.89
2021-04-21 22:21:27.577688+00:00,docs.google.com,69.139.199.197,4,16.82,21.219,28.822
2021-04-21 22:21:27.577861+00:00,docs.google.com,68.86.143.93,5,14.442,19.11,22.726
2021-04-21 22:21:27.578030+00:00,docs.google.com,96.112.146.18,6,12.573,16.257,22.146
2021-04-21 22:21:27.578195+00:00,docs.google.com,108.170.226.52,7,14.585,22.815,35.131
2021-04-21 22:21:27.578359+00:00,docs.google.com,72.14.235.1,8,11.377,15.139,21.252
2021-04-21 22:21:27.578520+00:00,docs.google.com,172.217.6.46,9,11.006,13.098,17.465
2021-04-21 22:21:32.315082+00:00,stackoverflow.com,10.0.0.1,1,2.554,3.182,5.043
2021-04-21 22:21:32.315501+00:00,stackoverflow.com,96.120.88.185,2,13.548,17.319,21.406
2021-04-21 22:21:32.315793+00:00,stackoverflow.com,96.110.177.73,3,13.801,18.32,23.024
2021-04-21 22:21:32.315971+00:00,stackoverflow.com,69.139.199.197,4,13.897,28.886,77.015
2021-04-21 22:21:32.316139+00:00,stackoverflow.com,96.110.41.117,5,12.15,20.386,30.824
2021-04-21 22:21:32.316305+00:00,stackoverflow.com,96.110.41.198,6,12.045,18.893,32.159
2021-04-21 22:21:32.316469+00:00,stackoverflow.com,50.242.150.6,7,13.811,19.061,29.99
2021-04-21 22:21:32.316630+00:00,stackoverflow.com,151.101.129.69,8,12.938,16.867,28.934
2021-04-21 22:21:37.715064+00:00,calendar.google.com,10.0.0.1,1,2.022,3.297,5.323
2021-04-21 22:21:37.715482+00:00,calendar.google.com,96.120.88.185,2,13.24,19.383,37.14
2021-04-21 22:21:37.715774+00:00,calendar.google.com,96.110.177.73,3,12.292,16.974,22.61
2021-04-21 22:21:37.715954+00:00,calendar.google.com,69.139.199.197,4,12.886,19.708,30.866
2021-04-21 22:21:37.716126+00:00,calendar.google.com,68.86.143.93,5,14.095,18.898,26.068
2021-04-21 22:21:37.716291+00:00,calendar.google.com,96.112.146.22,6,12.536,18.493,38.857
2021-04-21 22:21:37.716455+00:00,calendar.google.com,108.170.226.52,7,13.031,14.199,15.278
2021-04-21 22:21:37.716618+00:00,calendar.google.com,209.85.252.251,8,13.205,17.029,21.93
2021-04-21 22:21:37.716780+00:00,calendar.google.com,172.217.164.110,9,9.756,13.71,22.108
2021-04-21 22:21:42.729081+00:00,sites.google.com,10.0.0.1,1,2.303,3.011,4.754
2021-04-21 22:21:42.729495+00:00,sites.google.com,96.120.88.185,2,12.617,13.845,14.592
2021-04-21 22:21:42.729785+00:00,sites.google.com,96.110.177.73,3,12.297,16.934,31.306
2021-04-21 22:21:42.729963+00:00,sites.google.com,69.139.199.197,4,12.755,17.892,28.365
2021-04-21 22:21:42.730136+00:00,sites.google.com,68.86.143.93,5,12.129,17.361,21.373
2021-04-21 22:21:42.730302+00:00,sites.google.com,96.112.146.22,6,13.431,14.062,14.472
2021-04-21 22:21:42.730467+00:00,sites.google.com,108.170.226.52,7,12.952,15.322,17.267
2021-04-21 22:21:42.730629+00:00,sites.google.com,142.250.238.167,8,13.898,17.316,19.946
2021-04-21 22:21:42.730789+00:00,sites.google.com,142.250.72.206,9,10.982,16.34,26.652
2021-04-21 22:22:22.496900+00:00,github.com,10.0.0.1,1,2.387,2.837,3.456
